obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
i_ajuntament,1,3,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_autannes,1,3,870,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bologna,1,3,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_books,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_boutique,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bridger,1,3,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_brooklyn,1,3,820,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_castle,1,3,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_chestnuts,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_crownday,1,3,1037,1382,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_dome,1,3,905,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_duda,1,3,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fenis,1,3,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fog,1,3,380,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fruits,1,3,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_gonnenberg,1,3,385,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greenhouse,1,3,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greentea,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_indiana,1,3,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kions,1,3,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ktirio,1,3,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kurhaus,1,3,840,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_leuven,1,3,614,921,0.9965396523475647,-0.016891727223992348,1.6804988384246826,0.0018252551089972258,0.9882791638374329,13.200855255126953,3.741382670341409e-07,-2.4503478925907984e-05,1.0
i_lionday,1,3,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_lionnight,1,3,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_londonbridge,1,3,979,1478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_melon,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_miniature,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nescafe,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nijmegen,1,3,940,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nuts,1,3,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_objects,1,3,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_parking,1,3,420,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_partyfood,1,3,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pencils,1,3,1142,1725,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pinard,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pool,1,3,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_porta,1,3,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_resort,1,3,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_salon,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_santuario,1,3,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_school,1,3,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ski,1,3,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_smurf,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_steps,1,3,653,986,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_table,1,3,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_tools,1,3,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_toy,1,3,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_troulos,1,3,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_veggies,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_village,1,3,460,520,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_yellowtent,1,3,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_zion,1,3,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
