obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
i_ajuntament,1,6,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_autannes,1,6,870,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bologna,1,6,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_books,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_boutique,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bridger,1,6,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_brooklyn,1,6,820,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_castle,1,6,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_chestnuts,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_crownday,1,6,1037,1382,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_dome,1,6,905,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_duda,1,6,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fenis,1,6,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fog,1,6,380,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fruits,1,6,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_gonnenberg,1,6,385,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greenhouse,1,6,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greentea,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_indiana,1,6,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kions,1,6,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ktirio,1,6,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kurhaus,1,6,840,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_leuven,1,6,614,921,1.0069127082824707,-0.05939905345439911,-7.189614772796631,-0.0027756672352552414,0.958924412727356,39.20576095581055,2.843459151335992e-05,-0.00011030292807845399,1.0
i_lionday,1,6,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_lionnight,1,6,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_londonbridge,1,6,979,1478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_melon,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_miniature,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nescafe,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nijmegen,1,6,940,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nuts,1,6,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_objects,1,6,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_parking,1,6,420,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_partyfood,1,6,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pencils,1,6,1142,1725,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pinard,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pool,1,6,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_porta,1,6,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_resort,1,6,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_salon,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_santuario,1,6,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_school,1,6,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ski,1,6,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_smurf,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_steps,1,6,653,986,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_table,1,6,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_tools,1,6,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_toy,1,6,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_troulos,1,6,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_veggies,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_village,1,6,460,520,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_yellowtent,1,6,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_zion,1,6,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
