obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
i_ajuntament,1,2,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_autannes,1,2,870,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bologna,1,2,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_books,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_boutique,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bridger,1,2,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_brooklyn,1,2,820,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_castle,1,2,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_chestnuts,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_crownday,1,2,1037,1382,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_dome,1,2,905,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_duda,1,2,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fenis,1,2,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fog,1,2,380,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fruits,1,2,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_gonnenberg,1,2,385,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greenhouse,1,2,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greentea,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_indiana,1,2,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kions,1,2,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ktirio,1,2,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kurhaus,1,2,840,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_leuven,1,2,614,921,0.9887248277664185,-0.0076663498766720295,7.081507205963135,-0.0012865924509242177,0.9908096790313721,7.5889692306518555,-9.29229281609878e-06,-1.419020009052474e-05,1.0
i_lionday,1,2,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_lionnight,1,2,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_londonbridge,1,2,979,1478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_melon,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_miniature,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nescafe,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nijmegen,1,2,940,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nuts,1,2,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_objects,1,2,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_parking,1,2,420,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_partyfood,1,2,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pencils,1,2,1142,1725,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pinard,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pool,1,2,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_porta,1,2,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_resort,1,2,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_salon,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_santuario,1,2,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_school,1,2,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ski,1,2,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_smurf,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_steps,1,2,653,986,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_table,1,2,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_tools,1,2,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_toy,1,2,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_troulos,1,2,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_veggies,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_village,1,2,460,520,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_yellowtent,1,2,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_zion,1,2,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
